<DTYYYYMMDD>,<Close>
1260,81.5
1259,87
1258,93
1257,99.5
1256,106
1255,106
1254,109
1253,109
1252,108
1251,108
1250,108
1249,106
1248,106
1247,103
1246,103
1245,103
1244,104
1243,107
1242,107
1241,107
1240,114
1239,118
1238,124
1237,132
1236,141
1235,149
1234,139
1233,139
1232,135
1231,141
1230,144
1229,134
1228,137
1227,137
1226,135
1225,135
1224,132
1223,136
1222,145
1221,149
1220,152
1219,152
1218,151
1217,152
1216,152
1215,152
1214,154
1213,164
1212,175
1211,174
1210,173
1209,161
1208,167
1207,168
1206,169
1205,170
1204,172
1203,175
1202,175
1201,175
1200,110
1199,117
1198,117
1197,112
1196,112
1195,113
1194,107
1193,109
1192,108
1191,108
1190,107
1189,105
1188,108
1187,109
1186,106
1185,105
1184,107
1183,106
1182,103
1181,103
1180,100
1179,97
1178,103
1177,102
1176,102
1175,101
1174,101
1173,102
1172,101
1171,99
1170,98
1169,98
1168,98
1167,95
1166,93
1165,92
1164,91
1163,89
1162,85
1161,90.5
1160,96.5
1159,100
1158,99.5
1157,99.5
1156,99
1155,98.5
1154,99.5
1153,100
1152,100
1151,100
1150,100
1149,99
1148,102
1147,102
1146,104
1145,109
1144,105
1143,106
1142,106
1141,108
1140,109
1139,108
1138,108
1137,106
1136,107
1135,109
1134,110
1133,115
1132,119
1131,120
1130,116
1129,118
1128,120
1127,120
1126,119
1125,120
1124,118
1123,119
1122,122
1121,125
1120,124
1119,120
1118,120
1117,123
1116,126
1115,127
1114,129
1113,128
1112,130
1111,130
1110,130
1109,139
1108,141
1107,142
1106,134
1105,128
1104,128
1103,129
1102,126
1101,123
1100,123
1099,117
1098,114
1097,119
1096,119
1095,117
1094,118
1093,118
1092,117
1091,117
1090,115
1089,114
1088,113
1087,110
1086,107
1085,107
1084,107
1083,108
1082,107
1081,107
1080,105
1079,108
1078,108
1077,107
1076,107
1075,108
1074,108
1073,107
1072,107
1071,107
1070,105
1069,105
1068,104
1067,104
1066,109
1065,109
1064,108
1063,107
1062,105
1061,106
1060,107
1059,105
1058,102
1057,81
1056,75.5
1055,70.5
1054,75
1053,80
1052,84.5
1051,80.5
1050,80
1049,77.5
1048,80
1047,79.5
1046,79
1045,78
1044,77
1043,76
1042,74.5
1041,75
1040,77
1039,76.5
1038,76.5
1037,75
1036,75
1035,75
1034,74
1033,74
1032,73
1031,73
1030,72.5
1029,72
1028,70
1027,74.5
1026,73.5
1025,75
1024,73.5
1023,73.5
1022,73.5
1021,73.5
1020,74
1019,74
1018,74
1017,74.5
1016,74.5
1015,74.5
1014,73
1013,73.5
1012,73
1011,73.5
1010,73
1009,73
1008,71.5
1007,71
1006,71
1005,75
1004,74
1003,73.5
1002,72.5
1001,72.5
1000,71.5
999,71.5
998,71
997,72
996,71.5
995,71
994,72
993,72
992,71
991,71
990,71
989,70.5
988,70
987,68.5
986,65.5
985,64.5
984,60.5
983,62.5
982,62.5
981,63.5
980,64.5
979,66
978,64.5
977,63.5
976,63
975,61
974,62
973,61.5
972,61.5
971,61
970,60.5
969,59
968,59
967,60
966,60.5
965,63.5
964,63
963,62.5
962,61.5
961,62
960,61.5
959,60.5
958,61
957,61.5
956,62
955,62.5
954,65
953,66
952,70
951,68
950,66.5
949,67
948,67.5
947,68.5
946,70
945,70.5
944,69
943,67
942,68
941,68
940,68
939,67.5
938,68
937,72.5
936,74
935,73
934,73.5
933,73
932,75
931,73
930,74
929,73.5
928,74
927,76
926,78
925,79.5
924,78
923,78.5
922,78
921,79
920,81
919,82
918,82.5
917,81
916,77.5
915,75
914,75.5
913,76.5
912,76
911,76
910,75.5
909,77
908,75
907,74
906,75.5
905,76
904,76.5
903,78.5
902,79
901,78.5
900,79
899,78
898,78.5
897,79
896,77.5
895,79.5
894,79.5
893,81
892,78.5
891,79
890,79
889,78.5
888,76
887,75
886,74
885,75
884,74.5
883,73.5
882,72.5
881,69
880,71
879,70
878,69
877,68
876,72
875,71
874,71.5
873,70
872,72
871,72
870,72
869,72
868,72
867,73.5
866,72.5
865,72.5
864,72
863,74.5
862,74
861,76
860,77
859,77.5
858,76
857,75.5
856,75
855,75.5
854,79
853,79
852,79.5
851,79
850,78.5
849,78
848,79
847,79.5
846,79.5
845,79.5
844,77
843,77
842,77
841,78
840,77
839,78
838,78.5
837,78.5
836,78
835,77.5
834,77
833,75.5
832,75.5
831,75
830,76
829,75.5
828,76
827,76.5
826,77
825,76.5
824,76
823,75.5
822,76
821,74
820,74
819,74
818,74
817,77
816,76.5
815,76
814,76
813,75
812,77.5
811,78.5
810,78.5
809,78.5
808,78
807,78.5
806,77.5
805,76
804,76
803,77
802,77
801,76.5
800,77
799,80
798,83.5
797,84
796,82.5
795,84.5
794,85.5
793,86
792,85.5
791,85.5
790,88
789,92
788,95.5
787,94.5
786,92.5
785,94
784,94
783,100
782,99.5
781,102
780,100
779,107
778,108
777,108
776,115
775,122
774,122
773,119
772,125
771,123
770,123
769,124
768,123
767,123
766,131
765,130
764,132
763,135
762,140
761,140
760,137
759,139
